"Date","Location","Confirmed","Cured","Deaths"
"2020/05/21","National",20162,4838,1278
"2020/05/20","National",19189,4575,1242
"2020/05/19","National",18496,4467,1221
"2020/05/18","National",18010,4324,1191
"2020/05/17","National",17514,4129,1148
"2020/05/16","National",17025,3911,1089
"2020/05/15","National",16496,3803,1076
"2020/05/14","National",16006,3518,1043
"2020/05/13","National",15438,3287,1028
"2020/05/12","National",14749,3063,1007
"2020/05/11","National",14265,2881,991
"2020/05/10","National",14032,2698,973
"2020/05/09","National",13645,2607,959
"2020/05/08","National",13112,2494,943
"2020/05/07","National",12776,2381,930
"2020/05/06","National",12438,2317,895
"2020/05/05","National",12071,2197,872
"2020/05/04","National",11587,1954,864
"2020/05/03","National",11192,1876,845
"2020/05/02","National",10843,1665,831
"2020/05/01","National",10551,1591,800
"2020/04/30","National",10118,1522,792
"2020/04/29","National",9771,1391,784
"2020/04/28","National",9511,1254,773
"2020/04/27","National",9096,1151,765
"2020/04/26","National",8882,1107,743
"2020/04/25","National",8607,1042,720
"2020/04/24","National",8211,1002,689
"2020/04/23","National",7775,960,647
"2020/04/22","National",7418,913,635
"2020/04/21","National",7135,842,616
"2020/04/20","National",6760,747,590
"2020/04/19","National",6575,686,582
"2020/04/18","National",6248,631,535
"2020/04/17","National",5923,607,520
"2020/04/16","National",5516,548,496
"2020/04/15","National",5136,446,469
"2020/04/14","National",4839,426,459
"2020/04/13","National",4557,380,399
"2020/04/12","National",4241,359,373
"2020/04/11","National",3842,286,327
"2020/04/10","National",3512,282,306
"2020/04/09","National",3293,252,280
"2020/04/08","National",2956,222,240
"2020/04/07","National",2738,204,221
"2020/04/06","National",2491,192,209
"2020/04/05","National",2273,164,198
"2020/04/04","National",2092,150,191
"2020/04/03","National",1986,134,181
"2020/04/02","National",1790,112,170
"2020/04/01","National",1677,103,157
"2020/03/31","National",1528,81,136
"2020/03/30","National",1414,75,122
"2020/03/29","National",1285,64,114
"2020/03/28","National",1155,59,102
"2020/03/27","National",1046,46,87
"2020/03/26","National",893,35,78
"2020/03/25","National",790,31,58
"2020/03/24","National",686,30,55
"2020/03/23","National",579,30,49
"2020/03/22","National",514,29,48
"2020/03/21","National",450,20,38
"2020/03/20","National",369,17,32
"2020/03/19","National",309,15,25
"2020/03/18","National",227,11,19
"2020/03/17","National",172,9,5
"2020/03/16","National",134,8,5
"2020/03/15","National",117,8,5
"2020/03/14","National",96,8,5
"2020/03/13","National",69,2,4
"2020/03/12","National",34,2,1
"2020/03/11","National",34,2,1
"2020/03/10","National",27,2,0
"2020/03/09","National",19,0,0
"2020/03/08","National",6,0,0
"2020/03/07","National",4,0,0
"2020/03/06","National",4,0,0
"2020/03/05","National",2,0,0
"2020/03/04","National",2,0,0
"2020/03/03","National",2,0,0
"2020/03/02","National",2,0,0
"2020/05/15","Aceh",17,13,1
"2020/05/14","Aceh",17,13,1
"2020/05/13","Aceh",17,12,1
"2020/05/12","Aceh",17,12,1
"2020/05/11","Aceh",17,11,1
"2020/05/10","Aceh",17,11,1
"2020/05/09","Aceh",17,11,1
"2020/05/08","Aceh",17,11,1
"2020/05/07","Aceh",17,7,1
"2020/05/06","Aceh",17,7,1
"2020/05/05","Aceh",12,7,1
"2020/05/04","Aceh",12,7,1
"2020/05/03","Aceh",12,6,1
"2020/05/02","Aceh",11,6,1
"2020/05/01","Aceh",11,4,1
"2020/04/30","Aceh",10,4,1
"2020/04/29","Aceh",9,4,1
"2020/04/28","Aceh",9,4,1
"2020/04/27","Aceh",9,4,1
"2020/04/26","Aceh",9,4,1
"2020/04/25","Aceh",9,4,1
"2020/04/24","Aceh",8,4,1
"2020/04/23","Aceh",7,4,1
"2020/04/22","Aceh",7,4,1
"2020/04/21","Aceh",7,4,1
"2020/04/20","Aceh",7,4,1
"2020/04/19","Aceh",7,4,1
"2020/04/18","Aceh",6,4,1
"2020/04/17","Aceh",5,4,1
"2020/04/16","Aceh",5,4,1
"2020/04/15","Aceh",5,4,1
"2020/04/14","Aceh",5,4,1
"2020/04/13","Aceh",5,4,1
"2020/04/12","Aceh",5,1,1
"2020/04/11","Aceh",5,1,1
"2020/04/10","Aceh",5,1,1
"2020/04/09","Aceh",6,1,1
"2020/04/08","Aceh",6,0,1
"2020/04/07","Aceh",5,0,1
"2020/04/06","Aceh",5,0,1
"2020/04/05","Aceh",5,0,1
"2020/04/04","Aceh",5,0,1
"2020/04/03","Aceh",5,0,0
"2020/04/02","Aceh",5,0,0
"2020/04/01","Aceh",5,0,0
"2020/03/31","Aceh",5,0,0
"2020/03/30","Aceh",5,0,0
"2020/03/29","Aceh",5,0,0
"2020/03/28","Aceh",4,0,0
"2020/03/27","Aceh",4,0,0
"2020/03/26","Aceh",1,0,0
"2020/03/25","Aceh",0,0,0
"2020/03/24","Aceh",0,0,0
"2020/03/23","Aceh",0,0,0
"2020/03/22","Aceh",0,0,0
"2020/03/21","Aceh",0,0,0
"2020/03/20","Aceh",0,0,0
"2020/03/19","Aceh",0,0,0
"2020/03/18","Aceh",0,0,0
"2020/03/17","Aceh",0,0,0
"2020/03/16","Aceh",0,0,0
"2020/03/15","Aceh",0,0,0
"2020/03/14","Aceh",0,0,0
"2020/03/13","Aceh",0,0,0
"2020/03/12","Aceh",0,0,0
"2020/03/11","Aceh",0,0,0
"2020/03/10","Aceh",0,0,0
"2020/03/09","Aceh",0,0,0
"2020/03/08","Aceh",0,0,0
"2020/03/07","Aceh",0,0,0
"2020/03/06","Aceh",0,0,0
"2020/03/05","Aceh",0,0,0
"2020/03/04","Aceh",0,0,0
"2020/03/03","Aceh",0,0,0
"2020/03/02","Aceh",0,0,0
"2020/05/15","Bali",343,232,4
"2020/05/14","Bali",337,223,4
"2020/05/13","Bali",332,220,4
"2020/05/12","Bali",328,215,4
"2020/05/11","Bali",314,210,4
"2020/05/10","Bali",311,204,4
"2020/05/09","Bali",306,197,4
"2020/05/08","Bali",300,195,4
"2020/05/07","Bali",287,183,4
"2020/05/06","Bali",277,166,4
"2020/05/05","Bali",277,160,4
"2020/05/04","Bali",271,159,4
"2020/05/03","Bali",262,151,4
"2020/05/02","Bali",237,129,4
"2020/05/01","Bali",235,121,4
"2020/04/30","Bali",222,113,4
"2020/04/29","Bali",215,96,4
"2020/04/28","Bali",215,88,4
"2020/04/27","Bali",194,81,4
"2020/04/26","Bali",186,75,4
"2020/04/25","Bali",183,70,4
"2020/04/24","Bali",177,55,4
"2020/04/23","Bali",167,55,4
"2020/04/22","Bali",152,47,4
"2020/04/21","Bali",150,42,3
"2020/04/20","Bali",140,42,3
"2020/04/19","Bali",135,38,3
"2020/04/18","Bali",131,36,3
"2020/04/17","Bali",124,36,2
"2020/04/16","Bali",113,32,2
"2020/04/15","Bali",98,23,2
"2020/04/14","Bali",92,21,2
"2020/04/13","Bali",86,20,2
"2020/04/12","Bali",81,19,2
"2020/04/11","Bali",79,19,2
"2020/04/10","Bali",75,19,2
"2020/04/09","Bali",63,18,2
"2020/04/08","Bali",49,18,2
"2020/04/07","Bali",43,18,2
"2020/04/06","Bali",43,18,2
"2020/04/05","Bali",35,18,2
"2020/04/04","Bali",32,10,2
"2020/04/03","Bali",27,10,2
"2020/04/02","Bali",25,10,2
"2020/04/01","Bali",25,10,2
"2020/03/31","Bali",19,0,2
"2020/03/30","Bali",19,0,2
"2020/03/29","Bali",10,0,2
"2020/03/28","Bali",9,0,2
"2020/03/27","Bali",9,0,2
"2020/03/26","Bali",9,0,2
"2020/03/25","Bali",9,0,2
"2020/03/24","Bali",6,0,2
"2020/03/23","Bali",6,0,2
"2020/03/22","Bali",3,0,2
"2020/03/21","Bali",3,0,1
"2020/03/20","Bali",4,0,1
"2020/03/19","Bali",1,0,1
"2020/03/18","Bali",1,0,1
"2020/03/17","Bali",1,0,1
"2020/03/16","Bali",1,0,1
"2020/03/15","Bali",1,0,1
"2020/03/14","Bali",1,0,1
"2020/03/13","Bali",1,0,1
"2020/03/12","Bali",1,0,1
"2020/03/11","Bali",1,0,1
"2020/03/10","Bali",1,0,0
"2020/03/09","Bali",0,0,0
"2020/03/08","Bali",0,0,0
"2020/03/07","Bali",0,0,0
"2020/03/06","Bali",0,0,0
"2020/03/05","Bali",0,0,0
"2020/03/04","Bali",0,0,0
"2020/03/03","Bali",0,0,0
"2020/03/02","Bali",0,0,0
"2020/05/15","Banten",622,158,60
"2020/05/14","Banten",593,158,57
"2020/05/13","Banten",580,157,57
"2020/05/12","Banten",559,153,56
"2020/05/11","Banten",541,146,56
"2020/05/10","Banten",533,122,56
"2020/05/09","Banten",523,122,56
"2020/05/08","Banten",505,122,56
"2020/05/07","Banten",495,122,56
"2020/05/06","Banten",487,122,41
"2020/05/05","Banten",458,117,41
"2020/05/04","Banten",446,34,41
"2020/05/03","Banten",432,34,41
"2020/05/02","Banten",427,34,41
"2020/05/01","Banten",418,34,41
"2020/04/30","Banten",404,34,41
"2020/04/29","Banten",388,33,41
"2020/04/28","Banten",388,33,41
"2020/04/27","Banten",382,33,40
"2020/04/26","Banten",370,33,39
"2020/04/25","Banten",370,33,39
"2020/04/24","Banten",359,33,39
"2020/04/23","Banten",337,29,35
"2020/04/22","Banten",337,29,35
"2020/04/21","Banten",341,17,35
"2020/04/20","Banten",341,17,35
"2020/04/19","Banten",324,9,34
"2020/04/18","Banten",321,9,34
"2020/04/17","Banten",311,9,34
"2020/04/16","Banten",297,7,32
"2020/04/15","Banten",281,7,25
"2020/04/14","Banten",280,7,22
"2020/04/13","Banten",285,7,22
"2020/04/12","Banten",281,7,21
"2020/04/11","Banten",279,7,21
"2020/04/10","Banten",243,7,21
"2020/04/09","Banten",218,7,20
"2020/04/08","Banten",212,7,18
"2020/04/07","Banten",194,7,18
"2020/04/06","Banten",187,7,17
"2020/04/05","Banten",177,7,17
"2020/04/04","Banten",173,7,17
"2020/04/03","Banten",170,7,14
"2020/04/02","Banten",164,7,14
"2020/04/01","Banten",152,7,14
"2020/03/31","Banten",142,2,4
"2020/03/30","Banten",128,1,4
"2020/03/29","Banten",106,1,4
"2020/03/28","Banten",103,1,4
"2020/03/27","Banten",84,1,4
"2020/03/26","Banten",67,1,4
"2020/03/25","Banten",67,1,4
"2020/03/24","Banten",65,1,4
"2020/03/23","Banten",56,1,3
"2020/03/22","Banten",47,1,3
"2020/03/21","Banten",43,1,2
"2020/03/20","Banten",37,0,1
"2020/03/19","Banten",27,0,1
"2020/03/18","Banten",17,0,1
"2020/03/17","Banten",13,0,1
"2020/03/16","Banten",8,0,1
"2020/03/15","Banten",7,0,1
"2020/03/14","Banten",7,0,1
"2020/03/13","Banten",4,0,1
"2020/03/12","Banten",1,0,0
"2020/03/11","Banten",1,0,0
"2020/03/10","Banten",1,0,0
"2020/03/09","Banten",1,0,0
"2020/03/08","Banten",0,0,0
"2020/03/07","Banten",0,0,0
"2020/03/06","Banten",0,0,0
"2020/03/05","Banten",0,0,0
"2020/03/04","Banten",0,0,0
"2020/03/03","Banten",0,0,0
"2020/03/02","Banten",0,0,0
"2020/05/15","Bengkulu",53,1,2
"2020/05/14","Bengkulu",42,1,2
"2020/05/13","Bengkulu",40,1,1
"2020/05/12","Bengkulu",40,1,1
"2020/05/11","Bengkulu",37,1,1
"2020/05/10","Bengkulu",37,1,1
"2020/05/09","Bengkulu",37,1,1
"2020/05/08","Bengkulu",14,1,1
"2020/05/07","Bengkulu",14,1,1
"2020/05/06","Bengkulu",14,1,1
"2020/05/05","Bengkulu",12,1,1
"2020/05/04","Bengkulu",12,1,1
"2020/05/03","Bengkulu",12,1,1
"2020/05/02","Bengkulu",12,1,1
"2020/05/01","Bengkulu",12,1,1
"2020/04/30","Bengkulu",12,1,1
"2020/04/29","Bengkulu",12,1,1
"2020/04/28","Bengkulu",8,1,1
"2020/04/27","Bengkulu",8,1,1
"2020/04/26","Bengkulu",8,1,1
"2020/04/25","Bengkulu",8,1,1
"2020/04/24","Bengkulu",8,1,1
"2020/04/23","Bengkulu",8,1,1
"2020/04/22","Bengkulu",8,1,1
"2020/04/21","Bengkulu",8,1,1
"2020/04/20","Bengkulu",4,0,1
"2020/04/19","Bengkulu",4,0,1
"2020/04/18","Bengkulu",4,0,1
"2020/04/17","Bengkulu",4,0,1
"2020/04/16","Bengkulu",4,0,1
"2020/04/15","Bengkulu",4,0,1
"2020/04/14","Bengkulu",4,0,1
"2020/04/13","Bengkulu",4,0,1
"2020/04/12","Bengkulu",4,0,1
"2020/04/11","Bengkulu",4,0,1
"2020/04/10","Bengkulu",4,0,1
"2020/04/09","Bengkulu",4,0,1
"2020/04/08","Bengkulu",2,0,1
"2020/04/07","Bengkulu",2,0,1
"2020/04/06","Bengkulu",2,0,1
"2020/04/05","Bengkulu",2,0,1
"2020/04/04","Bengkulu",2,0,1
"2020/04/03","Bengkulu",2,0,1
"2020/04/02","Bengkulu",1,0,1
"2020/04/01","Bengkulu",1,0,1
"2020/03/31","Bengkulu",1,0,1
"2020/03/30","Bengkulu",0,0,0
"2020/03/29","Bengkulu",0,0,0
"2020/03/28","Bengkulu",0,0,0
"2020/03/27","Bengkulu",0,0,0
"2020/03/26","Bengkulu",0,0,0
"2020/03/25","Bengkulu",0,0,0
"2020/03/24","Bengkulu",0,0,0
"2020/03/23","Bengkulu",0,0,0
"2020/03/22","Bengkulu",0,0,0
"2020/03/21","Bengkulu",0,0,0
"2020/03/20","Bengkulu",0,0,0
"2020/03/19","Bengkulu",0,0,0
"2020/03/18","Bengkulu",0,0,0
"2020/03/17","Bengkulu",0,0,0
"2020/03/16","Bengkulu",0,0,0
