"Date","Location","Confirmed","Cured","Deaths","Hosp","DI_Confirmed","DI_Cured","DI_Deaths","DI_Hosp"
"2020/03/03","Aceh",0,0,0,0,0,0,0,0
"2020/03/04","Aceh",0,0,0,0,0,0,0,0
"2020/03/05","Aceh",0,0,0,0,0,0,0,0
"2020/03/06","Aceh",0,0,0,0,0,0,0,0
"2020/03/07","Aceh",0,0,0,0,0,0,0,0
"2020/03/08","Aceh",0,0,0,0,0,0,0,0
"2020/03/09","Aceh",0,0,0,0,0,0,0,0
"2020/03/10","Aceh",0,0,0,0,0,0,0,0
"2020/03/11","Aceh",0,0,0,0,0,0,0,0
"2020/03/12","Aceh",0,0,0,0,0,0,0,0
"2020/03/13","Aceh",0,0,0,0,0,0,0,0
"2020/03/14","Aceh",0,0,0,0,0,0,0,0
"2020/03/15","Aceh",0,0,0,0,0,0,0,0
"2020/03/16","Aceh",0,0,0,0,0,0,0,0
"2020/03/17","Aceh",0,0,0,0,0,0,0,0
"2020/03/18","Aceh",0,0,0,0,0,0,0,0
"2020/03/19","Aceh",0,0,0,0,0,0,0,0
"2020/03/20","Aceh",0,0,0,0,0,0,0,0
"2020/03/21","Aceh",0,0,0,0,0,0,0,0
"2020/03/22","Aceh",0,0,0,0,0,0,0,0
"2020/03/23","Aceh",0,0,0,0,0,0,0,0
"2020/03/24","Aceh",0,0,0,0,0,0,0,0
"2020/03/25","Aceh",0,0,0,0,0,0,0,0
"2020/03/26","Aceh",1,0,0,1,1,0,0,1
"2020/03/27","Aceh",4,0,0,4,3,0,0,3
"2020/03/28","Aceh",4,0,0,4,0,0,0,0
"2020/03/29","Aceh",5,0,0,5,1,0,0,1
"2020/03/30","Aceh",5,0,0,5,0,0,0,0
"2020/03/31","Aceh",5,0,0,5,0,0,0,0
"2020/04/01","Aceh",5,0,0,5,0,0,0,0
"2020/04/02","Aceh",5,0,0,5,0,0,0,0
"2020/04/03","Aceh",5,0,0,5,0,0,0,0
"2020/04/04","Aceh",5,0,1,4,0,0,1,-1
"2020/04/05","Aceh",5,0,1,4,0,0,0,0
"2020/04/06","Aceh",5,0,1,4,0,0,0,0
"2020/04/07","Aceh",5,0,1,4,0,0,0,0
"2020/04/08","Aceh",6,0,1,5,1,0,0,1
"2020/04/09","Aceh",6,1,1,4,0,1,0,-1
"2020/04/10","Aceh",5,1,1,3,-1,0,0,-1
"2020/04/11","Aceh",5,1,1,3,0,0,0,0
"2020/04/12","Aceh",5,1,1,3,0,0,0,0
"2020/04/13","Aceh",5,4,1,0,0,3,0,-3
"2020/04/14","Aceh",5,4,1,0,0,0,0,0
"2020/04/15","Aceh",5,4,1,0,0,0,0,0
"2020/04/16","Aceh",5,4,1,0,0,0,0,0
"2020/04/17","Aceh",5,4,1,0,0,0,0,0
"2020/04/18","Aceh",6,4,1,1,1,0,0,1
"2020/04/19","Aceh",7,4,1,2,1,0,0,1
"2020/04/20","Aceh",7,4,1,2,0,0,0,0
"2020/04/21","Aceh",7,4,1,2,0,0,0,0
"2020/04/22","Aceh",7,4,1,2,0,0,0,0
"2020/04/23","Aceh",7,4,1,2,0,0,0,0
"2020/04/24","Aceh",8,4,1,3,1,0,0,1
"2020/04/25","Aceh",9,4,1,4,1,0,0,1
"2020/04/26","Aceh",9,4,1,4,0,0,0,0
"2020/04/27","Aceh",9,4,1,4,0,0,0,0
"2020/04/28","Aceh",9,4,1,4,0,0,0,0
"2020/04/29","Aceh",9,4,1,4,0,0,0,0
"2020/04/30","Aceh",10,4,1,5,1,0,0,1
"2020/05/01","Aceh",11,4,1,6,1,0,0,1
"2020/05/02","Aceh",11,6,1,4,0,2,0,-2
"2020/05/03","Aceh",12,6,1,5,1,0,0,1
"2020/05/04","Aceh",12,7,1,4,0,1,0,-1
"2020/05/05","Aceh",12,7,1,4,0,0,0,0
"2020/05/06","Aceh",17,7,1,9,5,0,0,5
"2020/05/07","Aceh",17,7,1,9,0,0,0,0
"2020/05/08","Aceh",17,11,1,5,0,4,0,-4
"2020/05/09","Aceh",17,11,1,5,0,0,0,0
"2020/05/10","Aceh",17,11,1,5,0,0,0,0
"2020/05/11","Aceh",17,11,1,5,0,0,0,0
"2020/05/12","Aceh",17,12,1,4,0,1,0,-1
"2020/05/13","Aceh",17,12,1,4,0,0,0,0
"2020/05/14","Aceh",17,13,1,3,0,1,0,-1
"2020/05/15","Aceh",17,13,1,3,0,0,0,0
"2020/05/16","Aceh",18,15,1,2,1,2,0,-1
"2020/05/17","Aceh",18,15,1,2,0,0,0,0
"2020/05/18","Aceh",18,15,1,2,0,0,0,0
"2020/05/19","Aceh",18,15,1,2,0,0,0,0
"2020/05/20","Aceh",18,15,1,2,0,0,0,0
"2020/05/21","Aceh",18,15,1,2,0,0,0,0
"2020/05/22","Aceh",19,15,1,3,1,0,0,1
"2020/05/23","Aceh",19,17,1,1,0,2,0,-2
"2020/05/24","Aceh",19,17,1,1,0,0,0,0
"2020/05/25","Aceh",19,17,1,1,0,0,0,0
"2020/05/26","Aceh",19,17,1,1,0,0,0,0
"2020/05/27","Aceh",19,17,1,1,0,0,0,0
"2020/05/28","Aceh",20,17,1,2,1,0,0,1
"2020/05/29","Aceh",20,17,1,2,0,0,0,0
"2020/05/30","Aceh",20,17,1,2,0,0,0,0
"2020/05/31","Aceh",20,17,1,2,0,0,0,0
"2020/06/01","Aceh",20,17,1,2,0,0,0,0
"2020/06/02","Aceh",20,17,1,2,0,0,0,0
"2020/06/03","Aceh",20,17,1,2,0,0,0,0
"2020/06/04","Aceh",20,18,1,1,0,1,0,-1
"2020/06/05","Aceh",20,18,1,1,0,0,0,0
"2020/06/06","Aceh",20,18,1,1,0,0,0,0
"2020/06/07","Aceh",20,18,1,1,0,0,0,0
"2020/06/08","Aceh",20,18,1,1,0,0,0,0
"2020/06/09","Aceh",20,18,1,1,0,0,0,0
"2020/06/10","Aceh",22,18,1,3,2,0,0,2
"2020/06/11","Aceh",22,18,1,3,0,0,0,0
"2020/06/12","Aceh",22,18,1,3,0,0,0,0
"2020/06/13","Aceh",22,19,1,2,0,1,0,-1
"2020/06/14","Aceh",27,19,1,7,5,0,0,5
"2020/06/15","Aceh",27,19,1,7,0,0,0,0
"2020/06/16","Aceh",27,20,1,6,0,1,0,-1
"2020/06/17","Aceh",37,20,2,15,10,0,1,9
"2020/06/18","Aceh",38,20,2,16,1,0,0,1
"2020/06/19","Aceh",38,20,2,16,0,0,0,0
"2020/06/20","Aceh",39,20,2,17,1,0,0,1
"2020/06/21","Aceh",49,20,2,27,10,0,0,10
"2020/06/22","Aceh",49,20,2,27,0,0,0,0
"2020/06/23","Aceh",49,20,2,27,0,0,0,0
"2020/06/24","Aceh",53,20,2,31,4,0,0,4
"2020/06/25","Aceh",66,20,2,44,13,0,0,13
"2020/06/26","Aceh",69,20,2,47,3,0,0,3
"2020/06/27","Aceh",77,22,2,53,8,2,0,6
"2020/06/28","Aceh",79,25,2,52,2,3,0,-1
"2020/06/29","Aceh",79,25,2,52,0,0,0,0
"2020/06/30","Aceh",80,26,3,51,1,1,1,-1
"2020/07/01","Aceh",86,31,3,52,6,5,0,1
"2020/07/02","Aceh",86,31,3,52,0,0,0,0
"2020/07/03","Aceh",87,31,3,53,1,0,0,1
"2020/07/04","Aceh",87,31,3,53,0,0,0,0
"2020/07/05","Aceh",87,31,3,53,0,0,0,0
"2020/07/06","Aceh",87,40,3,44,0,9,0,-9
"2020/07/07","Aceh",88,42,3,43,1,2,0,-1
"2020/07/08","Aceh",89,51,3,35,1,9,0,-8
"2020/07/09","Aceh",90,54,3,33,1,3,0,-2
"2020/07/10","Aceh",90,59,3,28,0,5,0,-5
"2020/07/11","Aceh",99,63,3,33,9,4,0,5
"2020/07/12","Aceh",106,63,4,39,7,0,1,6
"2020/07/13","Aceh",106,63,4,39,0,0,0,0
"2020/07/14","Aceh",110,64,5,41,4,1,1,2
"2020/07/15","Aceh",137,64,7,66,27,0,2,25
"2020/07/16","Aceh",140,65,8,67,3,1,1,1
"2020/07/17","Aceh",145,65,8,72,5,0,0,5
"2020/07/18","Aceh",145,65,8,72,0,0,0,0
"2020/07/19","Aceh",148,65,9,74,3,0,1,2
"2020/07/20","Aceh",148,65,9,74,0,0,0,0
"2020/07/21","Aceh",149,70,9,70,1,5,0,-4
"2020/07/22","Aceh",151,75,9,67,2,5,0,-3
"2020/07/23","Aceh",158,77,10,71,7,2,1,4
"2020/07/24","Aceh",162,89,10,63,4,12,0,-8
"2020/07/25","Aceh",168,91,10,67,6,2,0,4
"2020/07/28","Aceh",168,91,10,67,0,0,0,0
"2020/07/31","Aceh",415,91,12,312,103,0,0,103
"2020/08/03","Aceh",433,91,17,325,2,0,2,0
"2020/08/04","Aceh",440,91,17,332,7,0,0,7
"2020/08/05","Aceh",442,91,18,333,2,0,1,1
"2020/08/06","Aceh",483,91,18,374,41,0,0,41
"2020/08/07","Aceh",536,91,18,427,53,0,0,53
"2020/08/10","Aceh",676,91,19,566,140,0,1,139
"2020/08/11","Aceh",676,91,19,566,0,0,0,0
"2020/08/12","Aceh",748,191,21,536,72,100,2,-30
"2020/08/15","Aceh",840,191,24,625,0,0,0,0
"2020/08/16","Aceh",876,191,26,659,36,0,2,34
"2020/08/17","Aceh",1044,191,26,827,168,0,0,168
"2020/08/18","Aceh",1069,191,28,850,25,0,2,23
"2020/08/19","Aceh",1132,191,28,913,63,0,0,63
"2020/08/20","Aceh",1137,191,28,918,5,0,0,5
"2020/08/21","Aceh",1141,191,30,920,4,0,2,2
"2020/08/22","Aceh",1211,191,30,990,70,0,0,70
"2020/08/23","Aceh",1211,191,32,988,0,0,2,-2
"2020/08/24","Aceh",1241,191,35,1015,30,0,3,27
"2020/08/25","Aceh",1261,191,38,1032,20,0,3,17
"2020/08/26","Aceh",1291,191,38,1062,30,0,0,30
"2020/08/30","Aceh",1600,246,61,1293,54,55,6,-7
"2020/08/31","Aceh",1633,312,63,1258,33,66,2,-35
"2020/09/01","Aceh",1649,395,66,1188,16,83,3,-70
"2020/09/02","Aceh",1697,395,68,1234,48,0,2,46
"2020/09/03","Aceh",1794,403,72,1319,97,8,4,85
"2020/09/04","Aceh",1884,434,74,1376,90,31,2,57
"2020/09/05","Aceh",1945,434,76,1435,61,0,2,59
"2020/09/06","Aceh",1945,434,76,1435,0,0,0,0
"2020/09/07","Aceh",2042,434,81,1527,97,0,5,92
"2020/09/08","Aceh",2054,494,83,1477,12,60,2,-50
"2020/09/11","Aceh",2152,504,85,1563,0,0,0,0
"2020/09/12","Aceh",2527,504,89,1934,375,0,4,371
"2020/09/13","Aceh",2739,504,93,2142,212,0,4,208
"2020/09/14","Aceh",2892,556,98,2238,153,52,5,96
"2020/09/15","Aceh",3032,701,104,2227,140,145,6,-11
"2020/09/16","Aceh",3032,701,104,2227,0,0,0,0
"2020/09/17","Aceh",3236,1100,127,2009,204,399,23,-218
"2020/09/18","Aceh",3352,1260,130,1962,116,160,3,-47
"2020/09/19","Aceh",3527,1304,130,2093,175,44,0,131
"2020/09/20","Aceh",3595,1304,134,2157,68,0,4,64
"2020/09/21","Aceh",3694,1680,136,1878,99,376,2,-279
"2020/09/22","Aceh",3785,1774,142,1869,91,94,6,-9
"2020/09/23","Aceh",3835,1774,145,1916,50,0,3,47
"2020/09/24","Aceh",3891,1889,145,1857,56,115,0,-59
"2020/09/25","Aceh",3982,1889,147,1946,91,0,2,89
"2020/09/26","Aceh",4173,1889,150,2134,191,0,3,188
"2020/09/27","Aceh",4246,2037,155,2054,73,148,5,-80
"2020/09/28","Aceh",4325,2202,167,1956,79,165,12,-98
"2020/09/29","Aceh",4471,2325,174,1972,146,123,7,16
"2020/09/30","Aceh",4554,2325,176,2053,83,0,2,81
"2020/10/01","Aceh",4554,2325,176,2053,0,0,0,0
"2020/10/02","Aceh",4854,2487,184,2183,300,162,8,130
"2020/10/03","Aceh",4927,2642,187,2098,73,155,3,-85
"2020/10/04","Aceh",4994,2838,193,1963,67,196,6,-135
"2020/10/05","Aceh",5064,3016,198,1850,70,178,5,-113
"2020/10/06","Aceh",5182,3115,202,1865,118,99,4,15
"2020/10/07","Aceh",5254,3326,204,1724,72,211,2,-141
"2020/10/08","Aceh",5423,3492,204,1727,169,166,0,3
"2020/10/09","Aceh",5546,3585,206,1755,123,93,2,28
"2020/10/10","Aceh",5546,3585,206,1755,0,0,0,0
"2020/10/11","Aceh",5767,3585,209,1973,221,0,3,218
"2020/10/12","Aceh",5844,3746,210,1888,77,161,1,-85
"2020/10/13","Aceh",5895,3851,213,1831,51,105,3,-57
"2020/10/14","Aceh",5960,3909,216,1835,65,58,3,4
"2020/10/15","Aceh",6077,4058,219,1800,117,149,3,-35
"2020/10/16","Aceh",6077,4058,219,1800,0,0,0,0
"2020/10/17","Aceh",6436,4318,226,1892,359,260,7,92
"2020/10/18","Aceh",6551,4605,233,1713,115,287,7,-179
"2020/10/19","Aceh",6667,4820,233,1614,116,215,0,-99
"2020/10/20","Aceh",6765,5037,235,1493,98,217,2,-121
"2020/10/21","Aceh",6844,5037,238,1569,79,0,3,76
"2020/10/22","Aceh",6947,5037,240,1670,103,0,2,101
"2020/03/03","Bali",0,0,0,0,0,0,0,0
"2020/03/04","Bali",0,0,0,0,0,0,0,0
"2020/03/05","Bali",0,0,0,0,0,0,0,0
"2020/03/06","Bali",0,0,0,0,0,0,0,0
"2020/03/07","Bali",0,0,0,0,0,0,0,0
"2020/03/08","Bali",0,0,0,0,0,0,0,0
"2020/03/09","Bali",0,0,0,0,0,0,0,0
"2020/03/10","Bali",1,0,0,1,1,0,0,1
"2020/03/11","Bali",1,0,1,0,0,0,1,-1
"2020/03/12","Bali",1,0,1,0,0,0,0,0
"2020/03/13","Bali",1,0,1,0,0,0,0,0
"2020/03/14","Bali",1,0,1,0,0,0,0,0
"2020/03/15","Bali",1,0,1,0,0,0,0,0
"2020/03/16","Bali",1,0,1,0,0,0,0,0
"2020/03/17","Bali",1,0,1,0,0,0,0,0
"2020/03/18","Bali",1,0,1,0,0,0,0,0
"2020/03/19","Bali",1,0,1,0,0,0,0,0
"2020/03/20","Bali",4,0,1,3,3,0,0,3
"2020/03/21","Bali",3,0,1,2,-1,0,0,-1
"2020/03/22","Bali",3,0,2,1,0,0,1,-1
"2020/03/23","Bali",6,0,2,4,3,0,0,3
"2020/03/24","Bali",6,0,2,4,0,0,0,0
"2020/03/25","Bali",9,0,2,7,3,0,0,3
"2020/03/26","Bali",9,0,2,7,0,0,0,0
"2020/03/27","Bali",9,0,2,7,0,0,0,0
"2020/03/28","Bali",9,0,2,7,0,0,0,0
"2020/03/29","Bali",10,0,2,8,1,0,0,1
"2020/03/30","Bali",19,0,2,17,9,0,0,9
"2020/03/31","Bali",19,0,2,17,0,0,0,0
"2020/04/01","Bali",25,10,2,13,6,10,0,-4
"2020/04/02","Bali",25,10,2,13,0,0,0,0
"2020/04/03","Bali",27,10,2,15,2,0,0,2
"2020/04/04","Bali",32,10,2,20,5,0,0,5
"2020/04/05","Bali",35,18,2,15,3,8,0,-5
"2020/04/06","Bali",43,18,2,23,8,0,0,8
"2020/04/07","Bali",43,18,2,23,0,0,0,0
"2020/04/08","Bali",49,18,2,29,6,0,0,6
"2020/04/09","Bali",63,18,2,43,14,0,0,14
"2020/04/10","Bali",75,19,2,54,12,1,0,11
"2020/04/11","Bali",79,19,2,58,4,0,0,4
"2020/04/12","Bali",81,19,2,60,2,0,0,2
"2020/04/13","Bali",86,20,2,64,5,1,0,4
"2020/04/14","Bali",92,21,2,69,6,1,0,5
"2020/04/15","Bali",98,23,2,73,6,2,0,4
"2020/04/16","Bali",113,32,2,79,15,9,0,6
"2020/04/17","Bali",124,36,2,86,11,4,0,7
"2020/04/18","Bali",131,36,3,92,7,0,1,6
"2020/04/19","Bali",135,38,3,94,4,2,0,2
"2020/04/20","Bali",140,42,3,95,5,4,0,1
"2020/04/21","Bali",150,42,3,105,10,0,0,10
"2020/04/22","Bali",152,47,4,101,2,5,1,-4
"2020/04/23","Bali",167,55,4,108,15,8,0,7
"2020/04/24","Bali",177,55,4,118,10,0,0,10
"2020/04/25","Bali",183,70,4,109,6,15,0,-9
"2020/04/26","Bali",186,75,4,107,3,5,0,-2
"2020/04/27","Bali",194,81,4,109,8,6,0,2
"2020/04/28","Bali",215,88,4,123,21,7,0,14
"2020/04/29","Bali",215,96,4,115,0,8,0,-8
"2020/04/30","Bali",222,113,4,105,7,17,0,-10
"2020/05/01","Bali",235,121,4,110,13,8,0,5
"2020/05/02","Bali",237,129,4,104,2,8,0,-6
"2020/05/03","Bali",262,151,4,107,25,22,0,3
"2020/05/04","Bali",271,159,4,108,9,8,0,1
"2020/05/05","Bali",277,160,4,113,6,1,0,5
"2020/05/06","Bali",277,166,4,107,0,6,0,-6
"2020/05/07","Bali",287,183,4,100,10,17,0,-7
"2020/05/08","Bali",300,195,4,101,13,12,0,1
"2020/05/09","Bali",306,197,4,105,6,2,0,4
"2020/05/10","Bali",311,204,4,103,5,7,0,-2
"2020/05/11","Bali",314,210,4,100,3,6,0,-3
"2020/05/12","Bali",328,215,4,109,14,5,0,9
"2020/05/13","Bali",332,220,4,108,4,5,0,-1
"2020/05/14","Bali",337,223,4,110,5,3,0,2
"2020/05/15","Bali",343,232,4,107,6,9,0,-3
"2020/05/16","Bali",346,243,4,99,3,11,0,-8
"2020/05/17","Bali",348,250,4,94,2,7,0,-5
"2020/05/18","Bali",359,257,4,98,11,7,0,4
"2020/05/19","Bali",363,267,4,92,4,10,0,-6
"2020/05/20","Bali",371,276,4,91,8,9,0,-1
"2020/05/21","Bali",374,280,4,90,3,4,0,-1
"2020/05/22","Bali",380,284,4,92,6,4,0,2
"2020/05/23","Bali",388,287,4,97,8,3,0,5
"2020/05/24","Bali",394,293,4,97,6,6,0,0
"2020/05/25","Bali",396,295,4,97,2,2,0,0
"2020/05/26","Bali",407,295,4,108,11,0,0,11
"2020/05/27","Bali",415,302,4,109,8,7,0,1
"2020/05/28","Bali",420,314,4,102,5,12,0,-7
"2020/05/29","Bali",443,320,4,119,23,6,0,17
"2020/05/30","Bali",455,328,4,123,12,8,0,4
"2020/05/31","Bali",465,329,4,132,10,1,0,9
"2020/06/01","Bali",482,334,5,143,17,5,1,11
"2020/06/02","Bali",487,334,5,148,5,0,0,5
"2020/06/03","Bali",490,349,5,136,3,15,0,-12
"2020/06/04","Bali",510,364,5,141,20,15,0,5
"2020/06/05","Bali",524,369,5,150,14,5,0,9
"2020/06/06","Bali",557,371,5,181,33,2,0,31
"2020/06/07","Bali",582,373,5,204,25,2,0,23
"2020/06/08","Bali",594,377,5,212,12,4,0,8
"2020/06/09","Bali",608,409,5,194,14,32,0,-18
"2020/06/10","Bali",640,412,5,223,32,3,0,29
"2020/06/11","Bali",659,424,5,230,19,12,0,7
"2020/06/12","Bali",695,448,5,242,36,24,0,12
"2020/06/13","Bali",723,462,6,255,28,14,1,13
"2020/06/14","Bali",741,474,6,261,18,12,0,6
"2020/06/15","Bali",760,502,6,252,19,28,0,-9
"2020/06/16","Bali",782,510,6,266,22,8,0,14
"2020/06/17","Bali",829,542,6,281,47,32,0,15
"2020/06/18","Bali",895,553,6,336,66,11,0,55
"2020/06/19","Bali",976,566,6,404,81,13,0,68
"2020/06/20","Bali",1013,586,7,420,37,20,1,16
"2020/06/21","Bali",1050,603,9,438,37,17,2,18
"2020/06/22","Bali",1080,615,9,456,30,12,0,18
"2020/06/23","Bali",1116,639,9,468,36,24,0,12
"2020/06/24","Bali",1158,646,9,503,42,7,0,35
"2020/06/25","Bali",1214,657,11,546,56,11,2,43
"2020/06/26","Bali",1263,730,11,522,49,73,0,-24
"2020/06/27","Bali",1369,751,11,607,106,21,0,85
"2020/06/28","Bali",1414,771,13,630,45,20,2,23
"2020/06/29","Bali",1444,783,13,648,30,12,0,18
"2020/06/30","Bali",1493,798,14,681,49,15,1,33
"2020/07/01","Bali",1527,860,15,652,34,62,1,-29
"2020/07/02","Bali",1640,875,16,749,113,15,1,97
"2020/07/03","Bali",1706,913,16,777,66,38,0,28
"2020/07/04","Bali",1797,937,18,842,91,24,2,65
"2020/07/05","Bali",1849,967,20,862,52,30,2,20
