"Date","Location","jumlah_positif","jumlah_sembuh","jumlah_dirawat","jumlah_meninggal","jumlah_positif_kum","jumlah_sembuh_kum","jumlah_dirawat_kum","jumlah_meninggal_kum"
"2020-03-03","National",0,0,0,0,0,0,0,0
"2020-03-04","National",0,0,0,0,0,0,0,0
"2020-03-05","National",0,0,0,0,0,0,0,0
"2020-03-06","National",0,0,0,0,0,0,0,0
"2020-03-07","National",0,0,0,0,0,0,0,0
"2020-03-08","National",0,0,0,0,0,0,0,0
"2020-03-09","National",13,0,13,0,13,0,13,0
"2020-03-10","National",8,2,6,0,21,2,19,0
"2020-03-11","National",7,0,6,1,28,2,25,1
"2020-03-12","National",0,0,0,0,28,2,25,1
"2020-03-13","National",35,0,32,3,63,2,57,4
"2020-03-14","National",27,6,20,1,90,8,77,5
"2020-03-15","National",21,0,21,0,111,8,98,5
"2020-03-16","National",17,0,17,0,128,8,115,5
"2020-03-17","National",38,1,37,0,166,9,152,5
"2020-03-18","National",0,0,0,0,166,9,152,5
"2020-03-19","National",82,4,72,6,248,13,224,11
"2020-03-20","National",60,2,51,7,308,15,275,18
"2020-03-21","National",81,3,72,6,389,18,347,24
"2020-03-22","National",64,9,45,10,453,27,392,34
"2020-03-23","National",0,0,0,0,453,27,392,34
"2020-03-24","National",106,0,100,6,559,27,492,40
"2020-03-25","National",105,1,101,3,664,28,593,43
"2020-03-26","National",103,4,79,20,767,32,672,63
"2020-03-27","National",153,11,133,9,920,43,805,72
"2020-03-28","National",109,13,81,15,1029,56,886,87
"2020-03-29","National",130,5,113,12,1159,61,999,99
"2020-03-30","National",129,11,110,8,1288,72,1109,107
"2020-03-31","National",0,0,0,0,1288,72,1109,107
"2020-04-01","National",149,22,106,21,1437,94,1215,128
"2020-04-02","National",113,9,91,13,1550,103,1306,141
"2020-04-03","National",196,22,163,11,1746,125,1469,152
"2020-04-04","National",106,16,80,10,1852,141,1549,162
"2020-04-05","National",181,14,160,7,2033,155,1709,169
"2020-04-06","National",218,28,179,11,2251,183,1888,180
"2020-04-07","National",0,0,0,0,2251,183,1888,180
"2020-04-08","National",218,18,181,19,2469,201,2069,199
"2020-04-09","National",337,30,267,40,2806,231,2336,239
"2020-04-10","National",219,30,163,26,3025,261,2499,265
"2020-04-11","National",0,0,0,0,3025,261,2499,265
"2020-04-12","National",0,0,0,0,3025,261,2499,265
"2020-04-13","National",316,21,269,26,3341,282,2768,291
"2020-04-14","National",0,0,0,0,3341,282,2768,291
"2020-04-15","National",297,20,267,10,3638,302,3035,301
"2020-04-16","National",380,102,251,27,4018,404,3286,328
"2020-04-17","National",407,59,324,24,4425,463,3610,352
"2020-04-18","National",325,24,286,15,4750,487,3896,367
"2020-04-19","National",327,55,225,47,5077,542,4121,414
"2020-04-20","National",185,61,116,8,5262,603,4237,422
"2020-04-21","National",375,95,254,26,5637,698,4491,448
"2020-04-22","National",283,71,193,19,5920,769,4684,467
"2020-04-23","National",357,47,298,12,6277,816,4982,479
"2020-04-24","National",0,0,0,0,6277,816,4982,479
"2020-04-25","National",0,0,0,0,6277,816,4982,479
"2020-04-26","National",275,65,187,23,6552,881,5169,502
"2020-04-27","National",214,44,148,22,6766,925,5317,524
"2020-04-28","National",0,0,0,0,6766,925,5317,524
"2020-04-29","National",260,137,112,11,7026,1062,5429,535
"2020-04-30","National",347,131,208,8,7373,1193,5637,543
"2020-05-01","National",433,69,356,8,7806,1262,5993,551
"2020-05-02","National",292,74,187,31,8098,1336,6180,582
"2020-05-03","National",349,211,124,14,8447,1547,6304,596
"2020-05-04","National",395,78,298,19,8842,1625,6602,615
"2020-05-05","National",484,243,233,8,9326,1868,6835,623
"2020-05-06","National",367,120,224,23,9693,1988,7059,646
"2020-05-07","National",338,64,239,35,10031,2052,7298,681
"2020-05-08","National",336,113,210,13,10367,2165,7508,694
"2020-05-09","National",533,113,404,16,10900,2278,7912,710
"2020-05-10","National",387,91,282,14,11287,2369,8194,724
"2020-05-11","National",0,0,0,0,11287,2369,8194,724
"2020-05-12","National",484,182,286,16,11771,2551,8480,740
"2020-05-13","National",689,224,444,21,12460,2775,8924,761
"2020-05-14","National",568,231,322,15,13028,3006,9246,776
"2020-05-15","National",490,285,172,33,13518,3291,9418,809
"2020-05-16","National",529,108,408,13,14047,3399,9826,822
"2020-05-17","National",489,218,212,59,14536,3617,10038,881
"2020-05-18","National",496,195,258,43,15032,3812,10296,924
"2020-05-19","National",486,143,313,30,15518,3955,10609,954
"2020-05-20","National",693,108,564,21,16211,4063,11173,975
"2020-05-21","National",973,263,674,36,17184,4326,11847,1011
"2020-05-22","National",634,219,367,48,17818,4545,12214,1059
"2020-05-23","National",949,192,732,25,18767,4737,12946,1084
"2020-05-24","National",526,153,352,21,19293,4890,13298,1105
"2020-05-25","National",479,240,220,19,19772,5130,13518,1124
"2020-05-26","National",415,235,153,27,20187,5365,13671,1151
"2020-05-27","National",0,0,0,0,20187,5365,13671,1151
"2020-05-28","National",687,183,481,23,20874,5548,14152,1174
"2020-05-29","National",0,0,0,0,20874,5548,14152,1174
"2020-05-30","National",557,523,-19,53,21431,6071,14133,1227
"2020-05-31","National",0,0,0,0,21431,6071,14133,1227
"2020-06-01","National",467,329,110,28,21898,6400,14243,1255
"2020-06-02","National",609,298,289,22,22507,6698,14532,1277
"2020-06-03","National",0,0,0,0,22507,6698,14532,1277
"2020-06-04","National",585,486,76,23,23092,7184,14608,1300
"2020-06-05","National",703,551,103,49,23795,7735,14711,1349
"2020-06-06","National",993,464,498,31,24788,8199,15209,1380
"2020-06-07","National",672,591,31,50,25460,8790,15240,1430
"2020-06-08","National",847,406,409,32,26307,9196,15649,1462
"2020-06-09","National",1042,510,492,40,27349,9706,16141,1502
"2020-06-10","National",1241,715,490,36,28590,10421,16631,1538
"2020-06-11","National",979,507,431,41,29569,10928,17062,1579
"2020-06-12","National",1111,577,486,48,30680,11505,17548,1627
"2020-06-13","National",1014,563,408,43,31694,12068,17956,1670
"2020-06-14","National",857,755,59,43,32551,12823,18015,1713
"2020-06-15","National",0,0,0,0,32551,12823,18015,1713
"2020-06-16","National",1106,580,493,33,33657,13403,18508,1746
"2020-06-17","National",1031,540,446,45,34688,13943,18954,1791
"2020-06-18","National",1331,555,713,63,36019,14498,19667,1854
"2020-06-19","National",1041,551,456,34,37060,15049,20123,1888
"2020-06-20","National",1226,534,636,56,38286,15583,20759,1944
"2020-06-21","National",862,521,305,36,39148,16104,21064,1980
"2020-06-22","National",954,331,588,35,40102,16435,21652,2015
"2020-06-23","National",1051,506,510,35,41153,16941,22162,2050
"2020-06-24","National",1113,417,658,38,42266,17358,22820,2088
"2020-06-25","National",1178,791,340,47,43444,18149,23160,2135
"2020-06-26","National",1240,884,293,63,44684,19033,23453,2198
"2020-06-27","National",1385,576,772,37,46069,19609,24225,2235
"2020-06-28","National",1198,1027,137,34,47267,20636,24362,2269
"2020-06-29","National",1082,864,167,51,48349,21500,24529,2320
"2020-06-30","National",1293,1006,216,71,49642,22506,24745,2391
"2020-07-01","National",1385,789,538,58,51027,23295,25283,2449
"2020-07-02","National",1624,1072,499,53,52651,24367,25782,2502
"2020-07-03","National",1301,901,351,49,53952,25268,26133,2551
"2020-07-04","National",1447,651,743,53,55399,25919,26876,2604
"2020-07-05","National",1607,886,639,82,57006,26805,27515,2686
"2020-07-06","National",0,0,0,0,57006,26805,27515,2686
"2020-07-07","National",1268,866,334,68,58274,27671,27849,2754
"2020-07-08","National",1853,800,1003,50,60127,28471,28852,2804
"2020-07-09","National",2657,1066,1533,58,62784,29537,30385,2862
"2020-07-10","National",1611,878,681,52,64395,30415,31066,2914
"2020-07-11","National",1671,1190,415,66,66066,31605,31481,2980
"2020-07-12","National",1681,919,691,71,67747,32524,32172,3051
"2020-07-13","National",1282,1051,181,50,69029,33575,32353,3101
"2020-07-14","National",0,0,0,0,69029,33575,32353,3101
"2020-07-15","National",0,0,0,0,69029,33575,32353,3101
"2020-07-16","National",1574,1295,203,76,70603,34870,32556,3177
"2020-07-17","National",1462,1489,-111,84,72065,36359,32445,3261
"2020-07-18","National",1752,1434,259,59,73817,37793,32704,3320
"2020-07-19","National",1639,2133,-621,127,75456,39926,32083,3447
"2020-07-20","National",1693,1576,21,96,77149,41502,32104,3543
"2020-07-21","National",1655,1489,85,81,78804,42991,32189,3624
"2020-07-22","National",1882,1789,-46,139,80686,44780,32143,3763
"2020-07-23","National",0,0,0,0,80686,44780,32143,3763
"2020-07-24","National",1761,1781,-109,89,82447,46561,32034,3852
"2020-07-25","National",0,0,0,0,82447,46561,32034,3852
"2020-07-26","National",1492,1301,124,67,83939,47862,32158,3919
"2020-07-27","National",1525,1518,-50,57,85464,49380,32108,3976
"2020-07-28","National",1748,2366,-681,63,87212,51746,31427,4039
"2020-07-29","National",2381,1599,708,74,89593,53345,32135,4113
"2020-07-30","National",1904,2154,-333,83,91497,55499,31802,4196
"2020-07-31","National",2040,1615,352,73,93537,57114,32154,4269
"2020-08-01","National",0,0,0,0,93537,57114,32154,4269
"2020-08-02","National",1519,1056,420,43,95056,58170,32574,4312
"2020-08-03","National",1679,1262,351,66,96735,59432,32925,4378
"2020-08-04","National",1922,1813,23,86,98657,61245,32948,4464
"2020-08-05","National",1815,1839,-88,64,100472,63084,32860,4528
"2020-08-06","National",1882,1756,57,69,102354,64840,32917,4597
"2020-08-07","National",2473,1912,489,72,104827,66752,33406,4669
"2020-08-08","National",2277,1749,463,65,107104,68501,33869,4734
"2020-08-09","National",1893,1646,182,65,108997,70147,34051,4799
