"nama","kode_rs","tempat_tidur","telepon","lat","lon","alamat","tipe","wilayah","propinsi"
"RS UMUM UMMI LANGSA","1173003",30,"(0641) 22886",4.468714,97.988251,"JL. PROF. MAJID IBRAHIM NO.10 A KOTA LANGSA","RS_RUJUKAN_PROVINSI","KOTA LANGSA, ACEH","ACEH"
"RS UMUM DAERAH DR. R. SOEPRAPTO CEPU","3316025",108,"",-7.150935234901718,111.585728317791," JL. RONGGOLAWE NO. 50,CEPU","RS_RUJUKAN_PROVINSI","BLORA, JAWA TENGAH","JAWA TENGAH"
"RS UMUM DAERAH RADEN SADJAT TERINTEGRASI","0000003",0,"(0773) 31218",3.920234,108.386823,"PANGKALAN TNI AU RADEN SADJAD(RSA) RANAI, KABUPATEN NATUNA, PROVINSI KEPULAUAN RIAU","RS_RUJUKAN_PROVINSI","NATUNA, KEPULAUAN RIAU","KEPULAUAN RIAU"
"RS UMUM MARTHA FRISKA","1275633",262,"(061) 6610910",3.63458,98.668768,"JL. KL YOS SUDARSO NO.91, TANJUNG MULIA, MEDAN DELI, MEDAN CITY, NORTH SUMATRA 20239","RS_RUJUKAN_PROVINSI","KOTA MEDAN, SUMATERA UTARA","SUMATERA UTARA"
"RS PANTI SECANTI","1802016",77,"",-5.424338,104.728799,"GISTING BAWAH, GISTING, KABUPATEN TANGGAMUS, LAMPUNG 35384","RS_RUJUKAN_PROVINSI","TANGGAMUS, LAMPUNG","LAMPUNG"
"RS IBU DAN ANAK FRISDHY ANGEL","2071057",26,"(0778) 424901",1.137349,104.016648,"JALAN RADEN PATAH BLOK B NO. 1-3, LUBUK BAJA, LUBUK BAJA KOTA, KEC. LUBUK BAJA, KOTA BATAM, KEPULAUAN RIAU 29444","RS_RUJUKAN_PROVINSI","KOTA BATAM, KEPULAUAN RIAU","KEPULAUAN RIAU"
"RS UMUM CHARIS MEDIKA","2071037",55,"(0778) 3582502",1.057501,103.96547,"JL. R.SUPRAPTO BLOK D 1-9","RS_RUJUKAN_PROVINSI","KOTA BATAM, KEPULAUAN RIAU","KEPULAUAN RIAU"
"RS UTAMA","1902012",66,"(0719) 9222211",-2.747282,107.658661,"JALAN JENDERAL SUDIRMAN KM.3 RT.019 RW.008 KELURAHAN LESUNG BATANG TANJUNGPANDAN BELITUNG","RS_RUJUKAN_PROVINSI","BELITUNG, KEPULAUAN BANGKA BELITUNG","KEPULAUAN BANGKA BELITUNG"
"RS GUNUNG MANIK","1903005",33,"(0715) 7322129",-1.673515,105.50791,"JL, AIR KUANG, PARITTIGA","RS_RUJUKAN_PROVINSI","BANGKA BARAT, KEPULAUAN BANGKA BELITUNG","KEPULAUAN BANGKA BELITUNG"
"RS IBU DAN ANAK RONA","1971006",32,"0813-6736-5888",-2.124242,106.111816,"JALAN KH. HASAN BASRI SULAIMAN, GEDUNG NASIONAL, KEC. TAMAN SARI, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG 33684","RS_RUJUKAN_PROVINSI","KOTA PANGKALPINANG, KEPULAUAN BANGKA BELITUNG","KEPULAUAN BANGKA BELITUNG"
